{'target': (0, '0_Asian_citrus_psyllid'), 'real': (11, 'b_citrus_scale'), 'file': './image_Data/validation/0_Asian_citrus_psyllid/336.jpeg'}
{'target': (6, '6_garden_snail'), 'real': (12, 'c_false_codling_moth'), 'file': './image_Data/validation/6_garden_snail/579.jpeg'}
{'target': (7, '7_brown_marmorated_stink_bug'), 'real': (14, 'e_citrus_root_weevil'), 'file': './image_Data/validation/7_brown_marmorated_stink_bug/564.jpeg'}
{'target': (7, '7_brown_marmorated_stink_bug'), 'real': (10, 'a_cicada'), 'file': './image_Data/validation/7_brown_marmorated_stink_bug/509.jpeg'}
{'target': (9, '9_citrus_mealybug'), 'real': (0, '0_Asian_citrus_psyllid'), 'file': './image_Data/validation/9_citrus_mealybug/435.jpeg'}
{'target': (9, '9_citrus_mealybug'), 'real': (21, 'm_Scab'), 'file': './image_Data/validation/9_citrus_mealybug/467.jpeg'}
{'target': (9, '9_citrus_mealybug'), 'real': (10, 'a_cicada'), 'file': './image_Data/validation/9_citrus_mealybug/406.jpeg'}
{'target': (9, '9_citrus_mealybug'), 'real': (15, 'f_citrus_flatid_planthopper'), 'file': './image_Data/validation/9_citrus_mealybug/449.jpeg'}
{'target': (9, '9_citrus_mealybug'), 'real': (19, 'k_leafminer'), 'file': './image_Data/validation/9_citrus_mealybug/482.jpeg'}
{'target': (9, '9_citrus_mealybug'), 'real': (11, 'b_citrus_scale'), 'file': './image_Data/validation/9_citrus_mealybug/436.jpeg'}
{'target': (9, '9_citrus_mealybug'), 'real': (7, '7_brown_marmorated_stink_bug'), 'file': './image_Data/validation/9_citrus_mealybug/421.jpeg'}
{'target': (9, '9_citrus_mealybug'), 'real': (21, 'm_Scab'), 'file': './image_Data/validation/9_citrus_mealybug/457.jpeg'}
{'target': (9, '9_citrus_mealybug'), 'real': (21, 'm_Scab'), 'file': './image_Data/validation/9_citrus_mealybug/473.jpeg'}
{'target': (9, '9_citrus_mealybug'), 'real': (13, 'd_citrus_aphids'), 'file': './image_Data/validation/9_citrus_mealybug/472.jpeg'}
{'target': (9, '9_citrus_mealybug'), 'real': (7, '7_brown_marmorated_stink_bug'), 'file': './image_Data/validation/9_citrus_mealybug/438.jpeg'}
{'target': (10, 'a_cicada'), 'real': (17, 'h_Anthracnose'), 'file': './image_Data/validation/a_cicada/471.jpeg'}
{'target': (10, 'a_cicada'), 'real': (12, 'c_false_codling_moth'), 'file': './image_Data/validation/a_cicada/435.jpeg'}
{'target': (10, 'a_cicada'), 'real': (12, 'c_false_codling_moth'), 'file': './image_Data/validation/a_cicada/494.jpeg'}
{'target': (10, 'a_cicada'), 'real': (13, 'd_citrus_aphids'), 'file': './image_Data/validation/a_cicada/474.jpeg'}
{'target': (10, 'a_cicada'), 'real': (14, 'e_citrus_root_weevil'), 'file': './image_Data/validation/a_cicada/469.jpeg'}
{'target': (10, 'a_cicada'), 'real': (15, 'f_citrus_flatid_planthopper'), 'file': './image_Data/validation/a_cicada/483.jpeg'}
{'target': (10, 'a_cicada'), 'real': (12, 'c_false_codling_moth'), 'file': './image_Data/validation/a_cicada/433.jpeg'}
{'target': (11, 'b_citrus_scale'), 'real': (10, 'a_cicada'), 'file': './image_Data/validation/b_citrus_scale/448.jpeg'}
{'target': (11, 'b_citrus_scale'), 'real': (9, '9_citrus_mealybug'), 'file': './image_Data/validation/b_citrus_scale/440.jpeg'}
{'target': (11, 'b_citrus_scale'), 'real': (13, 'd_citrus_aphids'), 'file': './image_Data/validation/b_citrus_scale/411.jpeg'}
{'target': (11, 'b_citrus_scale'), 'real': (17, 'h_Anthracnose'), 'file': './image_Data/validation/b_citrus_scale/407.jpeg'}
{'target': (11, 'b_citrus_scale'), 'real': (9, '9_citrus_mealybug'), 'file': './image_Data/validation/b_citrus_scale/441.jpeg'}
{'target': (11, 'b_citrus_scale'), 'real': (13, 'd_citrus_aphids'), 'file': './image_Data/validation/b_citrus_scale/412.jpeg'}
{'target': (11, 'b_citrus_scale'), 'real': (22, 'n_sooty_mold'), 'file': './image_Data/validation/b_citrus_scale/445.jpeg'}
{'target': (11, 'b_citrus_scale'), 'real': (22, 'n_sooty_mold'), 'file': './image_Data/validation/b_citrus_scale/442.jpeg'}
{'target': (11, 'b_citrus_scale'), 'real': (9, '9_citrus_mealybug'), 'file': './image_Data/validation/b_citrus_scale/423.jpeg'}
{'target': (11, 'b_citrus_scale'), 'real': (9, '9_citrus_mealybug'), 'file': './image_Data/validation/b_citrus_scale/450.jpeg'}
{'target': (11, 'b_citrus_scale'), 'real': (9, '9_citrus_mealybug'), 'file': './image_Data/validation/b_citrus_scale/465.jpeg'}
{'target': (11, 'b_citrus_scale'), 'real': (9, '9_citrus_mealybug'), 'file': './image_Data/validation/b_citrus_scale/438.jpeg'}
{'target': (11, 'b_citrus_scale'), 'real': (9, '9_citrus_mealybug'), 'file': './image_Data/validation/b_citrus_scale/422.jpeg'}
{'target': (11, 'b_citrus_scale'), 'real': (22, 'n_sooty_mold'), 'file': './image_Data/validation/b_citrus_scale/408.jpeg'}
{'target': (11, 'b_citrus_scale'), 'real': (15, 'f_citrus_flatid_planthopper'), 'file': './image_Data/validation/b_citrus_scale/433.jpeg'}
{'target': (12, 'c_false_codling_moth'), 'real': (7, '7_brown_marmorated_stink_bug'), 'file': './image_Data/validation/c_false_codling_moth/409.jpeg'}
{'target': (12, 'c_false_codling_moth'), 'real': (7, '7_brown_marmorated_stink_bug'), 'file': './image_Data/validation/c_false_codling_moth/407.jpeg'}
{'target': (12, 'c_false_codling_moth'), 'real': (6, '6_garden_snail'), 'file': './image_Data/validation/c_false_codling_moth/406.jpeg'}
{'target': (12, 'c_false_codling_moth'), 'real': (7, '7_brown_marmorated_stink_bug'), 'file': './image_Data/validation/c_false_codling_moth/418.jpeg'}
{'target': (12, 'c_false_codling_moth'), 'real': (10, 'a_cicada'), 'file': './image_Data/validation/c_false_codling_moth/474.jpeg'}
{'target': (12, 'c_false_codling_moth'), 'real': (7, '7_brown_marmorated_stink_bug'), 'file': './image_Data/validation/c_false_codling_moth/403.jpeg'}
{'target': (13, 'd_citrus_aphids'), 'real': (9, '9_citrus_mealybug'), 'file': './image_Data/validation/d_citrus_aphids/440.jpeg'}
{'target': (13, 'd_citrus_aphids'), 'real': (11, 'b_citrus_scale'), 'file': './image_Data/validation/d_citrus_aphids/409.jpeg'}
{'target': (13, 'd_citrus_aphids'), 'real': (5, '5_Asian_longicorn_beetle'), 'file': './image_Data/validation/d_citrus_aphids/501.jpeg'}
{'target': (13, 'd_citrus_aphids'), 'real': (3, '3_green_stink_bug'), 'file': './image_Data/validation/d_citrus_aphids/466.jpeg'}
{'target': (13, 'd_citrus_aphids'), 'real': (2, '2_forktailed_bush_katydid'), 'file': './image_Data/validation/d_citrus_aphids/412.jpeg'}
{'target': (13, 'd_citrus_aphids'), 'real': (2, '2_forktailed_bush_katydid'), 'file': './image_Data/validation/d_citrus_aphids/417.jpeg'}
{'target': (13, 'd_citrus_aphids'), 'real': (20, 'l_melanose'), 'file': './image_Data/validation/d_citrus_aphids/432.jpeg'}
{'target': (13, 'd_citrus_aphids'), 'real': (20, 'l_melanose'), 'file': './image_Data/validation/d_citrus_aphids/420.jpeg'}
{'target': (13, 'd_citrus_aphids'), 'real': (3, '3_green_stink_bug'), 'file': './image_Data/validation/d_citrus_aphids/477.jpeg'}
{'target': (13, 'd_citrus_aphids'), 'real': (0, '0_Asian_citrus_psyllid'), 'file': './image_Data/validation/d_citrus_aphids/437.jpeg'}
{'target': (13, 'd_citrus_aphids'), 'real': (11, 'b_citrus_scale'), 'file': './image_Data/validation/d_citrus_aphids/458.jpeg'}
{'target': (13, 'd_citrus_aphids'), 'real': (2, '2_forktailed_bush_katydid'), 'file': './image_Data/validation/d_citrus_aphids/505.jpeg'}
{'target': (13, 'd_citrus_aphids'), 'real': (14, 'e_citrus_root_weevil'), 'file': './image_Data/validation/d_citrus_aphids/497.jpeg'}
{'target': (13, 'd_citrus_aphids'), 'real': (2, '2_forktailed_bush_katydid'), 'file': './image_Data/validation/d_citrus_aphids/461.jpeg'}
{'target': (14, 'e_citrus_root_weevil'), 'real': (16, 'g_glassy_winged_sharpshooter'), 'file': './image_Data/validation/e_citrus_root_weevil/375.jpeg'}
{'target': (14, 'e_citrus_root_weevil'), 'real': (0, '0_Asian_citrus_psyllid'), 'file': './image_Data/validation/e_citrus_root_weevil/30.jpeg'}
{'target': (14, 'e_citrus_root_weevil'), 'real': (7, '7_brown_marmorated_stink_bug'), 'file': './image_Data/validation/e_citrus_root_weevil/365.jpeg'}
{'target': (14, 'e_citrus_root_weevil'), 'real': (21, 'm_Scab'), 'file': './image_Data/validation/e_citrus_root_weevil/358.jpeg'}
{'target': (14, 'e_citrus_root_weevil'), 'real': (19, 'k_leafminer'), 'file': './image_Data/validation/e_citrus_root_weevil/364.jpeg'}
{'target': (14, 'e_citrus_root_weevil'), 'real': (10, 'a_cicada'), 'file': './image_Data/validation/e_citrus_root_weevil/348.jpeg'}
{'target': (14, 'e_citrus_root_weevil'), 'real': (7, '7_brown_marmorated_stink_bug'), 'file': './image_Data/validation/e_citrus_root_weevil/352.jpeg'}
{'target': (14, 'e_citrus_root_weevil'), 'real': (7, '7_brown_marmorated_stink_bug'), 'file': './image_Data/validation/e_citrus_root_weevil/356.jpeg'}
{'target': (14, 'e_citrus_root_weevil'), 'real': (2, '2_forktailed_bush_katydid'), 'file': './image_Data/validation/e_citrus_root_weevil/343.jpeg'}
{'target': (14, 'e_citrus_root_weevil'), 'real': (6, '6_garden_snail'), 'file': './image_Data/validation/e_citrus_root_weevil/361.jpeg'}
{'target': (14, 'e_citrus_root_weevil'), 'real': (10, 'a_cicada'), 'file': './image_Data/validation/e_citrus_root_weevil/347.jpeg'}
{'target': (14, 'e_citrus_root_weevil'), 'real': (9, '9_citrus_mealybug'), 'file': './image_Data/validation/e_citrus_root_weevil/354.jpeg'}
{'target': (14, 'e_citrus_root_weevil'), 'real': (6, '6_garden_snail'), 'file': './image_Data/validation/e_citrus_root_weevil/357.jpeg'}
{'target': (14, 'e_citrus_root_weevil'), 'real': (9, '9_citrus_mealybug'), 'file': './image_Data/validation/e_citrus_root_weevil/376.jpeg'}
{'target': (14, 'e_citrus_root_weevil'), 'real': (0, '0_Asian_citrus_psyllid'), 'file': './image_Data/validation/e_citrus_root_weevil/353.jpeg'}
{'target': (14, 'e_citrus_root_weevil'), 'real': (13, 'd_citrus_aphids'), 'file': './image_Data/validation/e_citrus_root_weevil/355.jpeg'}
{'target': (14, 'e_citrus_root_weevil'), 'real': (13, 'd_citrus_aphids'), 'file': './image_Data/validation/e_citrus_root_weevil/374.jpeg'}
{'target': (15, 'f_citrus_flatid_planthopper'), 'real': (14, 'e_citrus_root_weevil'), 'file': './image_Data/validation/f_citrus_flatid_planthopper/538.jpeg'}
{'target': (15, 'f_citrus_flatid_planthopper'), 'real': (9, '9_citrus_mealybug'), 'file': './image_Data/validation/f_citrus_flatid_planthopper/484.jpeg'}
{'target': (15, 'f_citrus_flatid_planthopper'), 'real': (11, 'b_citrus_scale'), 'file': './image_Data/validation/f_citrus_flatid_planthopper/501.jpeg'}
{'target': (15, 'f_citrus_flatid_planthopper'), 'real': (7, '7_brown_marmorated_stink_bug'), 'file': './image_Data/validation/f_citrus_flatid_planthopper/515.jpeg'}
{'target': (15, 'f_citrus_flatid_planthopper'), 'real': (22, 'n_sooty_mold'), 'file': './image_Data/validation/f_citrus_flatid_planthopper/544.jpeg'}
{'target': (15, 'f_citrus_flatid_planthopper'), 'real': (10, 'a_cicada'), 'file': './image_Data/validation/f_citrus_flatid_planthopper/543.jpeg'}
{'target': (15, 'f_citrus_flatid_planthopper'), 'real': (10, 'a_cicada'), 'file': './image_Data/validation/f_citrus_flatid_planthopper/495.jpeg'}
{'target': (15, 'f_citrus_flatid_planthopper'), 'real': (9, '9_citrus_mealybug'), 'file': './image_Data/validation/f_citrus_flatid_planthopper/550.jpeg'}
{'target': (15, 'f_citrus_flatid_planthopper'), 'real': (12, 'c_false_codling_moth'), 'file': './image_Data/validation/f_citrus_flatid_planthopper/542.jpeg'}
{'target': (16, 'g_glassy_winged_sharpshooter'), 'real': (10, 'a_cicada'), 'file': './image_Data/validation/g_glassy_winged_sharpshooter/10558.jpeg'}
{'target': (17, 'h_Anthracnose'), 'real': (18, 'i_Canker'), 'file': './image_Data/validation/h_Anthracnose/440.jpeg'}
{'target': (17, 'h_Anthracnose'), 'real': (18, 'i_Canker'), 'file': './image_Data/validation/h_Anthracnose/439.jpeg'}
{'target': (17, 'h_Anthracnose'), 'real': (18, 'i_Canker'), 'file': './image_Data/validation/h_Anthracnose/77.jpeg'}
{'target': (17, 'h_Anthracnose'), 'real': (18, 'i_Canker'), 'file': './image_Data/validation/h_Anthracnose/78.jpeg'}
{'target': (17, 'h_Anthracnose'), 'real': (18, 'i_Canker'), 'file': './image_Data/validation/h_Anthracnose/437.jpeg'}
{'target': (17, 'h_Anthracnose'), 'real': (18, 'i_Canker'), 'file': './image_Data/validation/h_Anthracnose/438.jpeg'}
{'target': (17, 'h_Anthracnose'), 'real': (18, 'i_Canker'), 'file': './image_Data/validation/h_Anthracnose/462.jpeg'}
{'target': (17, 'h_Anthracnose'), 'real': (18, 'i_Canker'), 'file': './image_Data/validation/h_Anthracnose/100.jpeg'}
{'target': (18, 'i_Canker'), 'real': (17, 'h_Anthracnose'), 'file': './image_Data/validation/i_Canker/597.jpeg'}
{'target': (18, 'i_Canker'), 'real': (17, 'h_Anthracnose'), 'file': './image_Data/validation/i_Canker/532.jpeg'}
{'target': (18, 'i_Canker'), 'real': (17, 'h_Anthracnose'), 'file': './image_Data/validation/i_Canker/529.jpeg'}
{'target': (18, 'i_Canker'), 'real': (17, 'h_Anthracnose'), 'file': './image_Data/validation/i_Canker/560.jpeg'}
{'target': (18, 'i_Canker'), 'real': (17, 'h_Anthracnose'), 'file': './image_Data/validation/i_Canker/531.jpeg'}
{'target': (18, 'i_Canker'), 'real': (6, '6_garden_snail'), 'file': './image_Data/validation/i_Canker/568.jpeg'}
{'target': (18, 'i_Canker'), 'real': (17, 'h_Anthracnose'), 'file': './image_Data/validation/i_Canker/527.jpeg'}
{'target': (18, 'i_Canker'), 'real': (17, 'h_Anthracnose'), 'file': './image_Data/validation/i_Canker/567.jpeg'}
{'target': (19, 'k_leafminer'), 'real': (23, 'p_Pest_holes'), 'file': './image_Data/validation/k_leafminer/382.jpeg'}
{'target': (19, 'k_leafminer'), 'real': (23, 'p_Pest_holes'), 'file': './image_Data/validation/k_leafminer/381.jpeg'}
{'target': (20, 'l_melanose'), 'real': (22, 'n_sooty_mold'), 'file': './image_Data/validation/l_melanose/394.jpeg'}
{'target': (20, 'l_melanose'), 'real': (22, 'n_sooty_mold'), 'file': './image_Data/validation/l_melanose/392.jpeg'}
{'target': (20, 'l_melanose'), 'real': (18, 'i_Canker'), 'file': './image_Data/validation/l_melanose/16.jpeg'}
{'target': (21, 'm_Scab'), 'real': (20, 'l_melanose'), 'file': './image_Data/validation/m_Scab/86.jpeg'}
{'target': (21, 'm_Scab'), 'real': (22, 'n_sooty_mold'), 'file': './image_Data/validation/m_Scab/463.jpeg'}
{'target': (21, 'm_Scab'), 'real': (13, 'd_citrus_aphids'), 'file': './image_Data/validation/m_Scab/461.jpeg'}
{'target': (22, 'n_sooty_mold'), 'real': (15, 'f_citrus_flatid_planthopper'), 'file': './image_Data/validation/n_sooty_mold/532.jpeg'}
{'target': (23, 'p_Pest_holes'), 'real': (18, 'i_Canker'), 'file': './image_Data/validation/p_Pest_holes/365.jpeg'}
{'target': (23, 'p_Pest_holes'), 'real': (15, 'f_citrus_flatid_planthopper'), 'file': './image_Data/validation/p_Pest_holes/406.jpeg'}
